"","id","season","goals","shots","hits","pim","powerPlayOpportunities","powerPlayGoals","giveaways","takeaways","goals_away","goals_home","shortHandedGoals","faceOffWins","faceOffTaken","PPpercentage","faceOffPercentage"
"48",12,"s20172018",212,2491,1606,726,234,41,866,503,110,102,9,2447,5009,0.175213675213675,0.488520662806948
"49",34,"s20122013",109,1244,995,471,140,24,388,314,50,59,1,1381,2777,0.171428571428571,0.497299243788261
"50",34,"s20132014",214,2382,1611,808,239,46,618,556,109,105,2,2586,4873,0.192468619246862,0.530679253026883
"51",34,"s20142015",247,2846,1957,755,281,48,724,584,116,131,4,2789,5688,0.170818505338078,0.490330520393812
"52",34,"s20152016",255,2917,2374,958,305,55,813,552,113,142,7,2826,5785,0.180327868852459,0.488504753673293
"53",34,"s20162017",298,3211,2335,1104,324,60,939,728,133,165,12,3305,6450,0.185185185185185,0.512403100775194
"54",34,"s20172018",302,3107,1997,1035,310,66,956,763,144,158,11,3214,6002,0.212903225806452,0.535488170609797
"55",18,"s20122013",134,1513,1358,571,166,31,270,324,71,63,4,1629,3196,0.186746987951807,0.509699624530663
"56",18,"s20132014",253,2618,2087,1220,312,58,374,601,108,145,6,2744,5335,0.185897435897436,0.514339268978444
"57",18,"s20142015",253,2695,1981,952,262,58,448,559,124,129,3,2947,5520,0.221374045801527,0.533876811594203
"58",18,"s20152016",276,3024,2617,1089,294,66,588,670,147,129,5,3235,6316,0.224489795918367,0.512191260291324
"59",18,"s20162017",255,2627,1985,828,265,52,488,582,121,134,3,2760,5564,0.19622641509434,0.496046010064702
"60",18,"s20172018",223,2677,1893,631,246,38,482,613,110,113,5,2487,4915,0.154471544715447,0.506002034587996
"61",22,"s20122013",152,1682,1216,588,176,33,512,440,72,80,3,1550,3121,0.1875,0.496635693687921
"62",22,"s20132014",216,2537,2092,1005,276,49,743,665,110,106,8,2310,4896,0.177536231884058,0.471813725490196
"63",22,"s20142015",260,2970,3002,783,281,50,1010,850,121,139,10,2585,5296,0.177935943060498,0.488104229607251
"64",22,"s20152016",253,2776,2756,810,268,51,969,717,117,136,7,2709,5381,0.190298507462687,0.503438022672366
"65",22,"s20162017",239,2480,2126,648,234,35,808,569,111,128,5,2261,4741,0.14957264957265,0.476903606834001
"66",22,"s20172018",261,2573,1816,643,250,58,920,541,122,139,5,2404,4919,0.232,0.48871721894694
"67",21,"s20122013",128,1293,935,518,155,31,418,342,50,78,6,1403,3008,0.2,0.466422872340426
"68",21,"s20132014",202,2199,1708,858,249,39,738,575,95,107,12,2253,4872,0.156626506024096,0.46243842364532
"69",21,"s20142015",264,2530,2086,837,291,55,1009,946,121,143,7,2750,5804,0.189003436426117,0.47381116471399
"70",21,"s20152016",229,2398,1700,754,270,46,804,573,101,128,10,2411,4961,0.17037037037037,0.485990727675872
"71",21,"s20162017",231,2527,1673,993,273,58,846,670,97,134,9,2561,5247,0.212454212454212,0.488088431484658
"72",21,"s20172018",216,2759,1639,912,269,43,824,679,108,108,7,2496,5056,0.159851301115242,0.493670886075949
"73",27,"s20122013",114,1415,1241,598,140,21,349,405,49,65,3,1449,2837,0.15,0.510750793091294
"74",27,"s20132014",265,2595,2223,985,277,53,574,681,120,145,5,2644,5373,0.191335740072202,0.492090080029778
"75",27,"s20142015",209,2286,2018,771,247,37,545,664,95,114,4,2561,5039,0.149797570850202,0.508235761063703
"76",27,"s20152016",212,2349,1848,774,266,48,517,456,106,106,7,2384,4782,0.180451127819549,0.49853617733166
"77",27,"s20162017",165,2304,1687,767,239,30,567,598,70,95,5,2631,4907,0.125523012552301,0.536172814346851
"78",27,"s20172018",270,2607,1797,809,316,67,553,549,118,152,7,2288,5202,0.212025316455696,0.439830834294502
"79",25,"s20122013",123,1285,1060,522,169,34,479,307,63,60,4,1267,2747,0.201183431952663,0.461230433199854
"80",25,"s20132014",199,2209,1751,966,271,46,969,578,94,105,4,2395,4886,0.169741697416974,0.490176013098649
"81",25,"s20142015",193,2331,1980,677,232,41,898,598,99,94,4,2390,4957,0.176724137931034,0.482146459552148
"82",25,"s20152016",199,2387,1818,794,237,43,881,564,93,106,5,2429,4978,0.181434599156118,0.487946966653274
"83",25,"s20162017",279,2930,2523,911,287,65,1166,743,140,139,6,2650,5677,0.226480836236934,0.466795842874758
"84",25,"s20172018",229,2741,2134,742,210,31,1026,676,112,117,11,2394,4917,0.147619047619048,0.486882245271507
"85",20,"s20122013",130,1478,1166,675,175,28,383,354,61,69,2,1490,3153,0.16,0.472565810339359
"86",20,"s20132014",191,2527,1710,1115,257,39,538,524,89,102,6,2534,4933,0.151750972762646,0.51368335698358
"87",20,"s20142015",250,2635,1700,1024,254,49,748,561,127,123,6,2508,5349,0.192913385826772,0.468872686483455
"88",20,"s20152016",186,2311,1533,821,247,39,661,440,92,94,4,2223,4892,0.157894736842105,0.454415372035977
"89",20,"s20162017",178,2273,1471,648,227,32,587,503,91,87,2,2537,4960,0.140969162995595,0.511491935483871
"90",20,"s20172018",218,2465,1745,712,247,53,667,499,99,119,7,2427,4901,0.214574898785425,0.495205060191798
"91",32,"s20122013",155,1572,1364,594,160,36,432,306,73,82,6,1604,3368,0.225,0.47624703087886
"92",32,"s20132014",298,2917,2515,1130,325,56,802,520,136,162,11,3012,6170,0.172307692307692,0.488168557536467
"93",32,"s20142015",285,3027,2960,1029,280,49,949,603,141,144,9,3248,6266,0.175,0.518353016278328
"94",32,"s20152016",233,2685,2457,1081,267,60,867,473,111,122,7,2725,5227,0.224719101123595,0.521331547732925
"95",32,"s20162017",270,3007,2672,1191,305,54,980,532,127,143,9,3318,6056,0.177049180327869,0.547886393659181
