"","playing_team_1","playing_team_2","won_1","won_2","goals1","shots1","hits1","pim1","powerPlayOpportunities1","powerPlayGoals1","giveaways1","takeaways1","faceOffWinPercentage1","goals2","shots2","hits2","pim2","powerPlayOpportunities2","powerPlayGoals2","giveaways2","takeaways2","faceOffWinPercentage2","count","wins","REG_1_team","REG_2_team","OT_1_team","OT_2_team","SO_1_team","SO_2_team"
"187",20,15,4,14,43,581,383,210,68,13,138,108,49.3722222222222,59,515,350,207,59,8,180,120,50.6277777777778,18,4,3,10,1,3,0,1
"188",20,28,15,11,65,800,547,197,75,15,178,146,48.8230769230769,50,780,673,216,75,15,129,155,51.1769230769231,26,15,10,9,5,0,0,2
"189",20,29,7,24,61,944,704,349,91,16,315,189,47.1709677419355,106,989,554,325,118,26,315,251,52.8290322580645,31,7,6,19,1,4,0,1
"190",20,32,9,18,43,712,577,313,82,11,253,131,47.2962962962963,85,835,660,260,81,22,208,157,52.7037037037037,27,9,5,15,1,2,3,1
"191",20,35,5,10,31,426,258,134,47,6,134,86,48.3266666666667,44,463,381,130,44,8,125,111,51.6733333333333,15,5,3,10,1,0,1,0
"192",20,36,8,5,38,417,220,92,33,6,82,68,50.4461538461538,28,370,315,86,36,9,60,86,49.5538461538462,13,8,5,2,1,2,2,1
"193",20,37,9,10,50,537,357,178,45,11,100,100,45.4789473684211,57,570,303,176,56,15,93,101,54.521052631579,19,9,8,8,1,0,0,2
"194",20,38,0,4,10,109,107,18,8,2,26,25,55.2,19,131,82,16,9,2,32,42,44.8,4,0,0,3,0,0,0,1
"195",21,14,12,14,55,644,632,221,89,11,264,162,47.4038461538462,72,794,583,264,65,13,262,127,52.5961538461538,26,12,7,12,4,2,1,0
"196",21,15,8,10,49,500,335,172,53,10,183,162,47.8555555555556,56,529,318,166,56,9,185,137,52.1444444444444,18,8,6,9,0,0,2,1
"197",21,20,16,18,93,1055,666,572,109,17,285,274,49.3235294117647,89,951,501,547,102,19,288,229,50.6764705882353,34,16,15,12,1,3,0,3
