"","playing_team_1","playing_team_2","count","team_1_wins"
"289",33,29,10,5
"290",33,36,15,5
"291",33,37,10,3
"292",33,35,15,7
"293",33,28,10,5
"294",33,38,2,1
"295",31,24,26,9
"296",31,11,16,10
"297",31,12,34,26
"298",31,34,10,3
"299",31,18,10,4
"300",31,21,10,6
"301",31,27,10,6
"302",31,25,10,6
"303",31,20,10,7
"304",31,32,10,7
"305",31,15,10,6
"306",31,14,10,6
"307",31,29,10,4
"308",31,36,15,9
"309",31,37,10,5
"310",31,35,14,7
"311",31,28,10,5
"312",31,38,2,0
"313",24,11,10,7
"314",24,12,15,10
"315",24,34,10,3
"316",24,18,10,7
"317",24,21,10,5
"318",24,27,10,7
"319",24,25,10,7
"320",24,20,10,6
"321",24,32,10,6
"322",24,15,10,3
"323",24,14,10,3
"324",24,29,10,4
"325",24,36,28,18
"326",24,37,10,8
"327",24,35,15,11
"328",24,28,10,5
"329",24,38,7,4
"330",11,12,21,13
"331",11,34,38,22
"332",11,18,42,20
"333",11,21,18,10
"334",11,27,26,12
"335",11,25,18,13
"336",11,20,18,8
"337",11,32,25,12
"338",11,15,27,16
"339",11,14,30,17
"340",11,29,18,10
"341",11,36,14,9
"342",11,37,42,24
"343",11,35,24,13
"344",11,28,18,14
"345",11,38,3,0
"346",12,34,14,10
"347",12,18,15,7
"348",12,21,13,5
"349",12,27,13,7
"350",12,25,13,9
"351",12,20,13,9
"352",12,32,20,9
"353",12,15,13,7
"354",12,14,13,7
"355",12,29,13,5
"356",12,36,20,5
"357",12,37,13,7
"358",12,35,10,4
"359",12,28,13,8
"360",12,38,2,1
"361",34,18,34,16
"362",34,21,18,8
"363",34,27,32,20
"364",34,25,18,14
"365",34,20,18,9
"366",34,32,31,15
"367",34,15,27,14
"368",34,14,18,11
"369",34,29,25,15
"370",34,36,15,9
"371",34,37,27,12
"372",34,35,31,17
"373",34,28,18,11
"374",34,38,3,1
"375",18,21,18,11
"376",18,27,27,17
"377",18,25,18,12
"378",18,20,18,10
"379",18,32,18,7
"380",18,15,34,20
"381",18,14,24,10
"382",18,29,24,11
"383",18,36,14,9
"384",18,37,37,22
"385",18,35,23,12
"386",18,28,18,15
"387",18,38,3,1
"388",21,27,19,11
"389",21,25,28,15
"390",21,20,34,16
"391",21,32,35,8
"392",21,15,18,8
"393",21,14,26,12
"394",21,29,27,12
"395",21,36,13,4
"396",21,37,20,8
"397",21,35,15,8
"398",21,28,27,16
"399",21,38,4,1
"400",27,25,20,8
"401",27,20,19,8
"402",27,32,18,7
"403",27,15,27,16
"404",27,14,18,5
"405",27,29,18,7
"406",27,36,13,6
"407",27,37,36,15
"408",27,35,24,12
"409",27,28,18,10
"410",27,38,3,1
"411",25,20,29,14
"412",25,32,33,11
"413",25,15,18,7
"414",25,14,26,8
"415",25,29,32,13
"416",25,36,13,5
"417",25,37,19,6
"418",25,35,15,6
"419",25,28,27,10
"420",25,38,4,3
"421",20,32,27,9
"422",20,15,18,4
"423",20,14,26,11
"424",20,29,31,7
"425",20,36,13,8
"426",20,37,19,9
"427",20,35,15,5
"428",20,28,26,15
"429",20,38,4,0
"430",32,15,26,15
"431",32,14,36,22
"432",32,29,32,12
"433",32,36,13,5
"434",32,37,18,13
"435",32,35,19,14
"436",32,28,27,17
"437",32,38,4,1
"438",15,14,20,12
"439",15,29,19,11
"440",15,36,13,3
"441",15,37,32,15
"442",15,35,23,9
"443",15,28,19,14
"444",15,38,3,1
"445",14,29,47,22
